translated,label
"Good phone, I am happy with the purchase.",positive
"It works well, does not even freeze)",positive
"For some reason, they did not give a gift box from the opposition, although he stood in the window. Very upset",negative
Only the price,negative
Excellent 👌,positive
"Fast charging, nimble, light and compact.",positive
"Assembly quality, more update the operating system, the most reliable brand",positive
Good smartphone for its price.,positive
"An excellent phone, very nimble, good camera, excellent memory, not every phone can offer 256 gigabytes for this price, and 5G more support",positive
"Light, fast in movement and loading",positive
UN,negative
Screen and appearance like an iPhone,negative
Everything is fine!,positive
Super!,positive
Very good phone,positive
per 100 💯,positive
"Cool phone, camera, charging, nimble",positive
Pro,positive
Everything works,positive
Good phone for children is the same,negative
" it turns out you just need to sit for 1 day and study the phone. He met expectations. The design is attractive. Silver color gives""",positive
"I have received a sister. The voice sounds stereo, clearly, according to the price.",positive
"I bought it for a child, I really like it, there is a cover in the kit and a film on the screen",positive
"Clear, my husband is satisfied, without further words, an iPhone is an iPhone?",positive
"Very convenient, the battery holds exercises for a very long time. The charger in the kit quickly charges the phone!",negative
Such opportunities for such an acceptable amount,positive
High -level quality,positive
Cool new model. Holds the charge well. Design at 5+,positive
Better than s23 Fe,positive
Great phone for that kind of money!,positive
"nimble, fast so far everything is the norm",positive
👍👍👍ssper-,positive
My daughter pleased with the story of the story,positive
"It works quickly a very good screen, the charge holds with dignity, for the child or work what needs",positive
I liked the good wife,positive
Good ~ phone,positive
"So far, the norms",positive
The best smartphone 2025,positive
I haven't used yet,negative
Everything is fine ♥,positive
Good phone for your price,positive
Super wife likes it,positive
"Large screen, affordable price, the presence of a case and a thin film from scratches",negative
Excellent phone,positive
Good smartphone,positive
class,positive
Great phone for the child is the most,positive
"There is already a cover, the camera is good main and front, powerful speaker, 64 g of the memory, good smartphone",positive
". Image quality #""",positive
Does not contain built -in applications from Google. A large amount of RAM and internal memory. Enlightenment camera.,negative
"Everything is fine, works with a bang.",positive
that 8GB of RAM,negative
Price quality corresponds,positive
comfortable,positive
"Stylish, powerful, cool",positive
It works well,positive
ozu,positive
Good smartphone,positive
super phone,positive
"powerful, compact with a good camera, the charge holds normally and no heating",positive
kind,positive
Only pluses,negative
Great smartphone,positive
Fast receipt of goods,positive
"I took a great phone for a gift, the birthday person is satisfied",positive
Not yet,negative
Good phone,positive
fast,positive
There is an iPhone,positive
Netu,positive
Size and quality,positive
Very cool phone,positive
klass,positive
Great selfie camera,positive
Lightweight Lightweight,negative
"The phone is cool, convenient to use, does not hang, holds exercises for a long time. I recommend",positive
Not bad,positive
Cool,positive
"Beautiful design, nimble, unusual",positive
Bought daughters as a gift. The gift was estimated. ♥,positive
"A very good phone in all parameters, Google supports, the battery holds the charge well, the camera is better than that of Samsung and iPhone, before that he used Samsung and Afyphon, to say honestly Juafey surprised his bells with his bells and whistles!",positive
A very good quality of good quality,positive
It works well,positive
Powerful smartphone,positive
Great,positive
Good smartphone!,positive
Heavy in management,negative
"Compact, nimble, excellent screen, very convenient in the hand, very nice!",positive
super,positive
"I liked it, take it will not regret",positive
"I like everything, great phone",positive
