"original","translated"
"арзан","inexpensive"
"работает)","works)"
"телефон отличный по доступной цене не виснет не лагает поддерживает тяжёлые игры. рекомендую","The phone is excellent at an affordable price does not hang does not lag supports heavy games. I recommend"
"Не содержит встроенные приложения от Google. Большой объём оперативной и внутренней памяти. Вечатляющая камера.","Does not contain built -in applications from Google. A large amount of RAM and internal memory. Enlightenment camera."
"очень хороший телефон","Very good phone"
"қосымшалары көп, әр түрлі әлеуметтік желілер жүктелген","a lot of attachments, diverse social networks are loaded"
"мощный","powerful"
"телефон огонь, на счёт игр не знаю, брал супруге, двое суток спокойно держится без запядки","The phone is fire, I don’t know at the expense of games, I took my wife, for two days it calmly holds without aim"
"Хороший флагман","A good flagship"
"Всё отлично,работает на ура .","Everything is fine, works with a bang."
"на 100 💯","per 100 💯"
"пока дочка довольна","While my daughter is happy"
"Отличный смартфон","Great smartphone"
"Амир лучший продавец","Amir is the best seller"
"Apple есть Apple","Apple is Apple"
"Отличный телефон, очень шустрый, классная камера и суперский дисплей. Face id на андроид!","Great phone, very nimble, cool camera and super display. Face ID for Android!"
"Классный телефон, камера, зарядка, шустрый","Cool phone, camera, charging, nimble"
"Камерасы керемет екен.  Кино эффект деген тіпті супер.","The camera is great.  The film is even super."
"Бетарею долго держит, звук динамиков громкий","Betraye holds for a long time, the sound of the speakers loud"
"бонус қайда","where is the bonus"
"Про версия","Pro"
"яркость экрана и через месяц уже зависает","The brightness of the screen and after a month already hangs"
"Телефон хорошый","The phone is good"
"отличный телефон за такие деньги!","Great phone for that kind of money!"
"отлично","Great"
"Всё работает","Everything works"
"то что 8Гб оперативной памяти","that 8GB of RAM"
"озу","ozu"
"тел очень хороший,  реагирование быстро","The bodies are very good, the response is fast"
"Хороший аппарат","Good device"
"качество, скорость работы, камеры супер","quality, speed, cameras super"
"Хороший смартфон","Good smartphone"
"Отличный телефон, рекомендуются  к покупке","Great phone, recommended for purchase"
"вес нормальный не тяжелый, есть отпечаток пальца и лица.","The weight is not difficult, there is a fingerprint and face."
"Отличная камера , стилус удобен экран шикарный","Great camera, stylus is convenient for the screen chic"
"Шустрый малый ,достойный процессор,объем памяти приятно удивил.Батарею держит отлично!","The nimble small, worthy processor, the volume of memory pleasantly surprised. The battery holds perfectly!"
"Качества оригинал таза","Quality of the original pelvis"
"нормально","Fine"
"Я в восторге","I am delighted"
"супер телефон","super phone"
"То что я хотела 😍","What I wanted $"
"стоит своей цены","It costs your price"
"Зарядка быстро садится. Мне сказали что на 1.5 дня хватит, на один день ели хватает. Жалею что купила за такую сумму.","Charging quickly sits down. I was told that enough for 1.5 days, they had enough ate. I regret that I bought for such an amount."
"дизайн хороший телефон работает без проблем","The design is a good phone works without problems"
"смартфон летает. не берусь говорить за другие марки. сравнивать не с чем. 15 Гб (12+3) оперативной уже о чем то говорит.","The smartphone flies. I do not presume to speak for other brands. There is nothing to compare with. 15 GB (12+3) Operational is already talking about something."
"супер жене нравится","Super wife likes it"
"Хороший телефон для детей самое то","Good phone for children is the same"
"Очень хорошо приветствует приятная обстановка приветливые сотрудники Продавец Оксана супер","Very well welcomed by a pleasant environment, friendly employees seller Oksana Super"
"Дисплей память ОЗУ форма телефона звук double atmos шикарно","Display memory of RAM phone shape sound DOBLE Atmos is gorgeous"
"Хороший современный смартфон.","Good modern smartphone."
"Удобный в пользовании","Convenient in use"
"очень классный телефон супер","Very cool phone super"
"Долго грузит, не хватает оперативной памяти, работает туго","It loads for a long time, lacks RAM, it works tight"
"комплектация соответствует, смартфон свою работу выполняет, для школьника самое то.","The equipment corresponds, the smartphone performs its work, for the student the most."
"довольны качеством, второй на подарок купили","satisfied with the quality, the second was bought for a gift"
"Отличный телефон за свою цену.","Great phone for your price."
"Хороший смартфон!","Good smartphone!"
"мощный , компактный с хорошей камерой , заряд держит нормально и нет нагрева","powerful, compact with a good camera, the charge holds normally and no heating"
"Отличная селфи камера","Great selfie camera"
"хороший телефон, брали в подарок свекровке","good phone, took the mother -in -law as a gift"
"Дизайн цвет","Design color"
"5+","5+"
"понравился","I liked it"
"телефон өте жақсы, балама алдық, жақсы ұнады, камерасы өте керемет","Phone is very good, I liked the alternative, well, camera is very cool"
"Отличный экран, батарея, защита на 360.","Great screen, battery, protection at 360."
"Отличный крепкий телефон","Great strong phone"
"быстрый ,удобный, хорошо держит зарядку","Fast, comfortable, holds charging well"
"Күшті телефон","A strong phone"
"супер подарок для жены","super gift for his wife"
"телефон күшті","The phone is strong"
"жаксы","kind"
"Рахмет","Thanks"
"хороший телефон,я довольна покупкой.","Good phone, I am happy with the purchase."
"Отличный телефон супер яркий,громкий шустрый","Great phone is super bright, loud nimble"
"Отличный телефон.","Great phone."
"Жақсы  телефон екен балам қуанып ұстап жүр рақмет ін айтып","Good telephone is happy to keep thanking, thank you"
"Большой экран, доступная цена, наличие чехла и тонкой пленки от царапин","Large screen, affordable price, the presence of a case and a thin film from scratches"
"Есть все что необходимо для современного смартфона","There is everything you need for a modern smartphone"
"шустрый ,быстрый пока все норма","nimble, fast so far everything is the norm"
"10 ++++","10 ++++"
"хороший вариант для своих денег","good option for your money"
"Отличныйх телефон","Excellent phone"
"👍👍👍супер ғо","👍👍👍ssper-"
"өте ыңғайлы жеңіл қатты ұнады","Lightweight Lightweight"
"нормальный","normal"
"Тяжелый в управлении","Heavy in management"
"хороший смартфон","Good smartphone"
"Отличный смартфон 5","Great smartphone 5"
"Хороший телефон","Good phone"
"Цена","Price"
"быстрота","rapidity"
"просто супер ребёнок очень рад","just a super child is very happy"
"Консультант супер","Consultant super"
"Жақсы сотка,ұнады қызыма,қол жетімді.рахмет технодомға","A good court, liked my daughter, available. To Technodom"
"Классный телефон, покупали отцу","Cool phone, bought a father"
"Вначале казалось что управление тяжело. но нет оказывается надо просто 1 день посидеть и изучить телефон. оправдал ожидания
дизайн притягательный. цвет серебристый дает","At first it seemed that the management seemed difficult. But no, it turns out you just need to sit for 1 day and study the phone. He met expectations. The design is attractive. Silver color gives"
"цена качество соответствует","Price quality corresponds"
"все отлично","Everything is fine"
"телефон шустрый, отлично работает","The phone is nimble, works fine"
"новый соткасына  риза қызым","My daughter pleased with the story of the story"
"отлично 👍","Excellent ♥"
"Круто","Cool"
"Отличный телефон, давно хотела.","Great phone, I wanted to."
"дешево. полный комплект","cheap. Full set"
"Хороший телефон покупал маме её всё устраивает","A good phone bought her mother everything suits her"
"Апама алғанмын. Дауысы стерео, анық естіледі, бағасына сай.","I have received a sister. The voice sounds stereo, clearly, according to the price."
"Жақсы смартфон. 11 жастағы балама ұнады👍, қатпайды тез зарядталады екен.","A good smartphone. I liked an alternative to an 11-year-old, does not solve quickly."
"на вид прикольный. работает вроде шустро.","The appearance is cool. It seems like a furry."
"Одни только плюсы","Only pluses"
"Хороший","Good"
"звук не очень. фото размытые в ночной съёмке. тормозит при ночной съёмке","The sound is not very. Photo blurred in night shooting. brakes at night shooting"
"тоже хорош, по своему.","Also good, in its own way."
"хороший","good"
"Работает шустро очень, хороший экран, заряд держит достойно, для ребенка или работы то, что нужно","It works quickly a very good screen, the charge holds with dignity, for the child or work what needs"
"Керемет","Miracle"
"Телефон классный,удобный в использовании,не виснет,зарядку держит долго.Рекомендую","The phone is cool, convenient to use, does not hang, holds exercises for a long time. I recommend"
"Классная","Cool"
"отличный смартфон","Great smartphone"
"хороший жене понравился","I liked the good wife"
"Хорошо работает, даже не зависает)","It works well, does not even freeze)"
"Балама ұнады күшті смартфон","Alternative loved a strong smartphone"
"компактный,шустрый,отличный экран,очень удобный в руке,очень симпатичный!","Compact, nimble, excellent screen, very convenient in the hand, very nice!"
"почему то не дали гифт бокс от оппо, хотя он стоял на витрине. очень огорчило","For some reason, they did not give a gift box from the opposition, although he stood in the window. Very upset"
"шустрый","nimble"
"Хорош","Good"
"отличное качество телефона, отличная камера, хороший телефон советую покупать все в технодоме.","Great phone quality, excellent camera, I advise you to buy everything in the technodoma."
"super","super"
"хороший телефон лучше Самсунг","good phone better samsung"
"камера слабовата","chamber the weak"
"память","memory"
"жаксы
лежит в руке","jackets. Lies in the hand"
"классный телефон","Cool phone"
"Быстрое получение товара","Fast receipt of goods"
"очень хорошое телефон!","Very good phone!"
"только цена","Only the price"
"отличный телефон брала на подарок, именинник доволен","I took a great phone for a gift, the birthday person is satisfied"
"хороший 👍 телефон","Good ~ phone"
"Камера
Звук
Начинка","Camera. Sound. Filling"
"Цена, качество и характеристика","Price, quality and characteristic"
"Быстрый ,шустрый, очень удобный, много функции, можно скачать гугл плэй","Fast, nimble, very convenient, many functions, you can download Google Playy"
"отличный смартфон для такой цены","Great smartphone for such a price"
"Купил для ребенка, очень нравится, есть чехол в комплекте и пленка на экране","I bought it for a child, I really like it, there is a cover in the kit and a film on the screen"
"Папага смартфон унады","The pope smartphone cars"
"шик","chic"
"отлично 👌","Excellent 👌"
"удобный","comfortable"
"Быстрая зарядка, шустрый, лёгкий и компактный.","Fast charging, nimble, light and compact."
"купил 3 дня назад пока все отлично, спасибо каспии","I bought 3 days ago, while everything is fine, thanks to the Caspian"
"Шикарный смартфон! Качество, габариты, производительность на высшем уровне!","Gorgeous smartphone! Quality, dimensions, performance at the highest level!"
"плохое качество видео при просмотре в любой соц сети. обменять и вернуть нельзя","Poor video quality when viewing on any social network. You can’t exchange and return"
"телефон пушка","Phone gun"
"процессор, камера, функции","processor, camera, functions"
"хорошее обслуживание ПВЗ, отличный телефон","Good PVZ maintenance, great phone"
"супер","super"
"Четкий, муж доволен, без лишних слов айфон есть айфон 😍","Clear, my husband is satisfied, without further words, an iPhone is an iPhone?"
"Приехал распечатанный и без плёнок","I arrived printed and without films"
"пока нет","Not yet"
"Оболочка, скорость работы, камера","Shell, speed, camera"
"стильный дизайн","Stylish design"
